city,location,time,weather,crime_type,cctv,police,traffic,speed,temp,rainfall,accidents,complaints,severity
Ahmedabad,Navrangpura,Evening,cloudy,Vandalism,2,0,1,32,16,148,4,0,4.12
Chennai,Nungambakkam,Night,stormy,Pickpocketing,5,3,8,72,34,239,6,7,7.9
Kolkata,Gariahat,Midnight,stormy,Vandalism,3,0,9,42,42,5,4,0,6.2
Ahmedabad,Navrangpura,Evening,stormy,Cyber Crime,0,2,9,50,16,236,2,6,7.79
Bangalore,Koramangala,Morning,sunny,Burglary,6,3,7,77,25,266,1,3,4.52
Pune,Shivajinagar,Night,stormy,Pickpocketing,1,2,3,30,34,237,2,0,5.94
Kolkata,Barasat,Midnight,foggy,Robbery,4,3,5,79,42,138,1,3,7.27
Kolkata,Ultadanga,Morning,foggy,Assault,7,2,2,57,31,164,1,6,5.98
Ahmedabad,Chandkheda,Morning,rainy,Mobile Theft,6,2,3,67,43,281,1,7,5.34
Mumbai,Chembur,Morning,stormy,Eve Teasing,7,0,7,67,24,184,1,1,5.82
Bangalore,HSR Layout,Morning,stormy,Vandalism,9,3,1,42,19,153,7,8,5.58
Ahmedabad,Chandkheda,Evening,cloudy,Vandalism,5,4,3,19,17,105,4,4,4.69
Bangalore,Marathahalli,Evening,sunny,Eve Teasing,6,0,5,13,23,148,8,7,6.97
Bangalore,Jayanagar,Evening,rainy,Chain Snatching,8,2,4,79,34,184,4,1,5.93
Pune,Shivajinagar,Midnight,stormy,Assault,5,2,3,26,36,270,0,1,6.39
Kolkata,Salt Lake,Midnight,cloudy,Fraud,8,4,6,74,39,190,7,3,6.61
Chennai,Adyar,Midnight,sunny,Carjacking,1,4,6,60,16,162,2,3,6.66
Pune,Hadapsar,Afternoon,rainy,Robbery,1,2,4,41,37,200,9,2,7.9
Pune,Shivajinagar,Midnight,rainy,Pickpocketing,1,4,9,61,33,105,9,4,7.79
Bangalore,Hebbal,Evening,stormy,Vandalism,5,1,6,64,31,214,1,1,5.06
Hyderabad,Dilsukhnagar,Evening,rainy,Theft,1,0,9,16,39,219,5,0,6.4
Kolkata,Behala,Afternoon,cloudy,Assault,2,3,2,11,39,216,3,3,6.1
Mumbai,Thane,Afternoon,rainy,Eve Teasing,7,4,6,70,26,28,3,5,5.39
Pune,Aundh,Midnight,foggy,Vandalism,7,4,4,45,41,237,8,5,7.13
Chennai,Anna Nagar,Night,cloudy,Pickpocketing,3,1,2,28,34,63,9,1,5.37
Hyderabad,Madhapur,Afternoon,sunny,Theft,8,3,5,29,23,95,7,5,4.55
Hyderabad,Dilsukhnagar,Morning,sunny,Carjacking,7,1,3,66,37,153,2,3,5.61
Mumbai,Borivali,Evening,stormy,Carjacking,0,3,6,48,18,27,8,9,8.88
Pune,Koregaon Park,Morning,stormy,Pickpocketing,7,0,8,6,42,175,0,0,5.35
Chennai,Nungambakkam,Evening,foggy,Assault,0,4,4,46,32,250,6,0,6.64
Kolkata,Howrah,Evening,sunny,Theft,3,0,4,37,30,193,6,1,5.07
Delhi,Karol Bagh,Afternoon,sunny,Mobile Theft,9,3,5,21,43,278,1,3,4.08
Chennai,Nungambakkam,Afternoon,sunny,Eve Teasing,5,4,6,67,35,38,6,7,6.4
Mumbai,Mulund,Morning,sunny,Theft,6,1,7,26,38,68,6,2,4.69
Hyderabad,Kukatpally,Evening,rainy,Mobile Theft,9,2,6,5,24,276,8,4,6.74
Kolkata,Tollygunge,Morning,cloudy,Burglary,3,1,7,74,40,119,5,2,5.28
Chennai,Velachery,Night,cloudy,Eve Teasing,7,2,9,58,36,85,9,7,8.52
Delhi,Connaught Place,Morning,foggy,Robbery,7,1,4,18,26,176,9,3,8.01
Delhi,Dwarka,Midnight,rainy,Fraud,8,3,1,57,44,93,8,7,6.35
Bangalore,Yeshwanthpur,Morning,sunny,Robbery,5,0,9,10,42,91,2,7,8.05
Bangalore,Koramangala,Midnight,sunny,Fraud,3,2,7,68,25,80,7,8,7.24
Ahmedabad,Isanpur,Midnight,stormy,Robbery,1,3,4,37,19,227,3,1,8.05
Mumbai,Dadar,Midnight,stormy,Cyber Crime,6,0,8,76,34,87,0,9,8.23
Pune,Shivajinagar,Night,foggy,Theft,9,0,7,48,25,127,6,6,6.91
Chennai,Chrompet,Morning,sunny,Mobile Theft,2,4,2,38,30,297,2,9,5.66
Chennai,Nungambakkam,Morning,foggy,Assault,2,4,1,38,29,189,3,0,4.31
Pune,Viman Nagar,Night,rainy,Pickpocketing,2,4,9,28,20,133,2,3,6.81
Ahmedabad,Maninagar,Evening,cloudy,Vandalism,3,2,7,6,27,135,5,3,5.76
Hyderabad,LB Nagar,Afternoon,sunny,Fraud,1,2,1,12,30,39,9,3,4.92
Hyderabad,Madhapur,Morning,rainy,Vandalism,4,0,4,29,41,137,0,6,4.83
Ahmedabad,Maninagar,Afternoon,sunny,Burglary,2,2,5,36,17,286,9,4,6.97
Hyderabad,LB Nagar,Night,stormy,Burglary,9,0,5,60,32,255,6,4,8.01
Bangalore,BTM Layout,Evening,foggy,Vandalism,4,3,5,11,15,285,9,2,6.29
Chennai,Velachery,Evening,stormy,Cyber Crime,6,1,3,52,39,84,7,9,6.54
Ahmedabad,Bopal,Evening,cloudy,Mobile Theft,8,0,5,58,31,26,2,4,4.88
Chennai,Anna Nagar,Night,stormy,Cyber Crime,1,0,4,67,41,229,8,4,7.66
Pune,Koregaon Park,Midnight,sunny,Burglary,8,3,5,77,34,290,1,7,6.53
Delhi,Karol Bagh,Midnight,stormy,Eve Teasing,9,4,7,6,20,287,9,1,7.52
Bangalore,Jayanagar,Afternoon,sunny,Vandalism,5,4,5,39,23,131,9,7,4.93
Kolkata,Barasat,Midnight,cloudy,Burglary,5,4,8,26,18,90,8,3,8.02
Bangalore,Whitefield,Midnight,stormy,Fraud,2,0,8,68,21,228,4,8,10.0
Ahmedabad,Isanpur,Evening,foggy,Assault,9,0,3,63,37,26,5,7,7.44
Kolkata,Tollygunge,Evening,foggy,Cyber Crime,8,2,5,53,43,281,1,4,4.54
Delhi,Saket,Afternoon,foggy,Burglary,3,2,4,56,44,279,4,4,6.76
Ahmedabad,Naranpura,Morning,stormy,Mobile Theft,4,1,5,25,36,198,5,8,6.86
Mumbai,Malad,Afternoon,stormy,Mobile Theft,2,1,8,16,39,299,4,4,7.63
Chennai,Velachery,Afternoon,stormy,Vandalism,4,2,4,15,25,153,3,8,7.27
Delhi,Vasant Kunj,Night,sunny,Fraud,7,0,5,58,40,298,7,5,6.54
Chennai,Porur,Night,cloudy,Vandalism,7,3,7,74,37,42,1,0,4.02
Hyderabad,Jubilee Hills,Afternoon,foggy,Carjacking,7,2,3,18,17,109,0,7,6.22
Mumbai,Chembur,Afternoon,sunny,Theft,5,0,6,37,30,110,1,0,3.75
Mumbai,Thane,Afternoon,foggy,Theft,0,2,9,30,20,0,3,1,4.83
Delhi,Karol Bagh,Midnight,sunny,Mobile Theft,9,4,4,18,21,139,0,5,5.5
Mumbai,Goregaon,Night,stormy,Theft,5,2,4,52,26,177,8,4,7.39
Kolkata,Dum Dum,Afternoon,foggy,Robbery,9,4,6,69,21,59,0,1,4.42
Mumbai,Borivali,Evening,stormy,Eve Teasing,6,0,6,50,43,182,4,5,7.74
